Pulse Number,Max Volts
1,1.1180
2,0.9900
3,0.8750
4,0.7800
5,0.7025
6,0.6275
7,0.5700
8,0.5250
9,0.4750
10,0.4325
11,0.4025
12,0.3700
13,0.3375
14,0.3150
15,0.2913
16,0.2725
17,0.2513
18,0.2331
19,0.2175
20,0.2025
21,0.1894
22,0.1763
23,0.1638
24,0.1538
25,0.1438
