Pulse Number,Max Volts
2,1.0580
3,0.8450
4,0.6700
5,0.5625
6,0.4755
7,0.4025
8,0.3363
9,0.2925
10,0.2531
11,0.2219
12,0.1906
13,0.1706
14,0.1482
15,0.1337
16,0.1175
17,0.1053
18,0.0933
19,0.0843
20,0.0748
21,0.0678
22,0.0608
23,0.0545
24,0.0490
25,0.0440
26,0.0400
